Product_ID,Product_Name,Category,Material,Time_Taken,Region,Demand_Level,Avg_Reviews,Actual_Cost,Expected_Price,Price_Difference,Difference_Flag
33,Wooden Sculpture,Jewelry,Wood,18,North,Low,3.8,1052,19196,18144,0
34,Embroidered Cushion,Jewelry,Wood,1,Uwa,Low,3.7,8518,13265,4747,0
35,Painted Ceramic Mug,Kitchenware,Wood,3,Sabaragamuwa,High,4.1,19324,19443,119,0
36,Macrame Wall Hanging,Fashion,Cotton Rope,18,North,Low,3.9,11412,16742,5330,0
37,Macrame Wall Hanging,Home Decor,Paper,1,Sabaragamuwa,Low,3.8,15520,12363,3157,0
38,Embroidered Cushion,Kitchenware,Leather,13,Uwa,High,3.6,13748,10142,3606,0
39,Paper Flower Bouquet,Accessories,Cotton Rope,11,Sabaragamuwa,High,3.3,12340,3523,8817,0
40,Macrame Wall Hanging,Accessories,Beads,11,North,Medium,4.0,19415,3634,15781,0
41,Leather Wallet,Crafts,Wool,12,Sabaragamuwa,High,4.6,5675,9357,3682,0
42,Macrame Wall Hanging,Accessories,Fabric,7,NorthEast,Medium,3.0,10518,14906,4388,0
43,Leather Wallet,Accessories,Wool,1,Uwa,High,4.0,16447,11377,5070,0
44,Handmade Necklace,Accessories,Leather,16,Uwa,Low,4.4,3693,12298,8605,0
45,Painted Ceramic Mug,Kitchenware,Beads,5,North,High,3.7,7352,8368,1016,0
46,Leather Wallet,Accessories,Fabric,6,Sabaragamuwa,High,3.3,17696,1204,16492,0
47,Painted Ceramic Mug,Accessories,Fabric,1,Uwa,High,3.2,11129,6023,5106,0
48,Macrame Wall Hanging,Crafts,Straw,12,Uwa,High,4.2,15138,16296,1158,0
49,Wooden Sculpture,Fashion,Paper,6,NorthEast,Low,5.0,7720,18863,11143,0
50,Leather Wallet,Home Decor,Cotton Rope,19,Uwa,High,3.6,17083,6814,10269,0
51,Macrame Wall Hanging,Accessories,Beads,12,North,Low,4.3,18896,10971,7925,0
52,Painted Ceramic Mug,Home Decor,Wool,8,NorthEast,Medium,4.1,8800,17333,8533,0
53,Hand-Painted Vase,Fashion,Paper,18,Sabaragamuwa,Medium,4.6,12214,1086,11128,0
54,Painted Ceramic Mug,Home Decor,Ceramic,15,North,Low,3.3,18824,18208,616,0
55,Woven Basket,Crafts,Leather,7,Uwa,Low,3.5,3213,4532,1319,0
56,Wooden Sculpture,Crafts,Wood,9,NorthEast,Low,3.1,19900,18751,1149,0
57,Embroidered Cushion,Home Decor,Cotton Rope,7,Uwa,Medium,4.0,11997,13128,1131,0
58,Handmade Necklace,Jewelry,Wood,12,Sabaragamuwa,High,4.7,2631,16944,14313,0
59,Wooden Sculpture,Accessories,Ceramic,8,North,Low,4.3,7818,2756,5062,0
60,Painted Ceramic Mug,Crafts,Fabric,7,Uwa,Low,4.7,8343,18552,10209,0
61,Macrame Wall Hanging,Home Decor,Wool,2,NorthEast,Low,4.2,9418,9109,309,0
62,Wooden Sculpture,Jewelry,Wood,15,Uwa,High,3.2,8768,19060,10292,0
63,Hand-Painted Vase,Crafts,Paper,8,Uwa,High,4.0,11013,5749,5264,0
64,Painted Ceramic Mug,Home Decor,Fabric,14,NorthEast,Low,4.5,16859,7595,9264,0
65,Woven Basket,Home Decor,Cotton Rope,16,Uwa,Medium,3.0,14869,9384,5485,0
66,Hand-Painted Vase,Kitchenware,Leather,4,Sabaragamuwa,High,3.7,2600,3360,760,0
67,Painted Ceramic Mug,Fashion,Fabric,2,NorthEast,Medium,3.9,1929,3473,1544,0
68,Knitted Scarf,Crafts,Leather,1,Uwa,Medium,3.1,1027,10291,9264,0
69,Handmade Necklace,Home Decor,Beads,13,NorthEast,Low,3.4,16175,7993,8182,0
70,Painted Ceramic Mug,Home Decor,Cotton Rope,14,Uwa,Medium,4.5,5119,7311,2192,0
71,Knitted Scarf,Crafts,Leather,16,NorthEast,High,4.5,19753,11940,7813,0
72,Hand-Painted Vase,Home Decor,Straw,9,Uwa,High,3.1,17754,1582,16172,0
73,Painted Ceramic Mug,Home Decor,Beads,19,Uwa,High,3.7,11215,17678,6463,0
74,Woven Basket,Accessories,Fabric,20,NorthEast,Medium,4.0,8500,7085,1415,0
75,Wooden Sculpture,Accessories,Fabric,5,Sabaragamuwa,High,4.0,13419,13028,391,0
76,Macrame Wall Hanging,Kitchenware,Straw,3,North,Low,4.2,13638,17840,4202,0
77,Handmade Necklace,Kitchenware,Ceramic,14,Sabaragamuwa,Low,3.3,18670,14399,4271,0
78,Hand-Painted Vase,Jewelry,Fabric,7,Sabaragamuwa,Medium,3.7,16179,11461,4718,0
79,Knitted Scarf,Crafts,Wood,5,North,Medium,4.8,14277,12014,2263,0
80,Wooden Sculpture,Fashion,Leather,2,Uwa,High,4.2,10241,18047,7806,0
81,Macrame Wall Hanging,Kitchenware,Paper,5,North,Medium,3.6,6905,9197,2292,0
82,Wooden Sculpture,Crafts,Ceramic,16,Sabaragamuwa,Low,3.2,3047,7268,4221,0
83,Woven Basket,Fashion,Fabric,7,Sabaragamuwa,Low,4.0,17794,15500,2294,0
84,Handmade Necklace,Crafts,Paper,10,Uwa,Medium,4.7,17586,4073,13513,0
85,Painted Ceramic Mug,Jewelry,Ceramic,7,North,Low,3.2,15326,3164,12162,0
86,Leather Wallet,Fashion,Straw,7,Uwa,High,3.9,17095,19645,2550,0
87,Paper Flower Bouquet,Fashion,Straw,19,NorthEast,High,3.1,11699,10429,1270,0
88,Hand-Painted Vase,Accessories,Leather,9,North,High,4.5,10005,15582,5577,0
89,Wooden Sculpture,Fashion,Straw,9,NorthEast,Low,3.9,4246,13792,9546,0
90,Handmade Necklace,Fashion,Leather,10,North,High,4.3,6948,16249,9301,0
91,Embroidered Cushion,Jewelry,Straw,5,Sabaragamuwa,Low,4.1,1478,7679,6201,0
92,Hand-Painted Vase,Crafts,Leather,7,Sabaragamuwa,High,3.1,1766,11939,10173,0
93,Wooden Sculpture,Home Decor,Straw,7,NorthEast,Medium,4.1,6661,9430,2769,0
94,Handmade Necklace,Accessories,Leather,15,Uwa,Low,4.5,16142,14925,1217,0
95,Embroidered Cushion,Jewelry,Cotton Rope,8,Sabaragamuwa,Low,3.5,7951,12305,4354,0
96,Knitted Scarf,Fashion,Cotton Rope,2,NorthEast,Low,4.6,11115,14284,3169,0
97,Hand-Painted Vase,Kitchenware,Paper,15,NorthEast,High,3.0,18492,1564,16928,0
98,Woven Basket,Crafts,Beads,11,Uwa,High,4.2,9454,15567,6113,0
99,Knitted Scarf,Crafts,Beads,7,Sabaragamuwa,Medium,4.9,16868,19330,2462,0
100,Macrame Wall Hanging,Jewelry,Ceramic,12,North,Low,4.9,12968,19148,6180,0
101,Hand-Painted Vase,Home Decor,Wool,13,Uwa,Low,4.4,5233,13199,7966,0
102,Wooden Sculpture,Crafts,Leather,17,Uwa,Low,3.3,12687,8677,4010,0
103,Paper Flower Bouquet,Accessories,Leather,11,Sabaragamuwa,Low,3.1,6795,9727,2932,0
104,Macrame Wall Hanging,Home Decor,Beads,11,NorthEast,Medium,3.1,12021,12441,420,0
105,Leather Wallet,Kitchenware,Straw,8,North,Medium,4.7,2871,14546,11675,0
106,Handmade Necklace,Kitchenware,Fabric,17,Sabaragamuwa,Low,4.3,16191,9704,6487,0
107,Paper Flower Bouquet,Kitchenware,Straw,1,Uwa,Low,4.8,1524,19862,18338,0
108,Woven Basket,Crafts,Fabric,13,Uwa,Low,4.5,13484,14495,1011,0
109,Hand-Painted Vase,Jewelry,Beads,20,Sabaragamuwa,Medium,3.5,3096,13482,10386,0
110,Wooden Sculpture,Kitchenware,Wool,6,Uwa,Medium,3.3,1668,19464,17796,0
111,Hand-Painted Vase,Home Decor,Cotton Rope,8,Sabaragamuwa,Low,4.7,5701,6136,435,0
112,Painted Ceramic Mug,Home Decor,Fabric,13,Sabaragamuwa,Low,3.5,19003,2515,16488,0
113,Hand-Painted Vase,Crafts,Paper,3,NorthEast,Medium,3.3,17539,1202,16337,0
114,Handmade Necklace,Jewelry,Wood,9,Uwa,High,4.0,9642,12299,2657,0
115,Leather Wallet,Accessories,Straw,6,Sabaragamuwa,Medium,4.4,11823,7547,4276,0
116,Hand-Painted Vase,Crafts,Paper,12,North,Low,3.4,18885,16992,1893,0
117,Knitted Scarf,Fashion,Ceramic,1,Uwa,Medium,3.0,4191,9511,5320,0
118,Paper Flower Bouquet,Crafts,Cotton Rope,13,Sabaragamuwa,Low,4.7,6403,2368,4035,0
119,Leather Wallet,Home Decor,Ceramic,11,Sabaragamuwa,High,4.9,7977,11535,3558,0
120,Woven Basket,Crafts,Wood,14,North,Low,4.0,16392,2066,14326,0
121,Leather Wallet,Crafts,Cotton Rope,7,Uwa,Low,4.8,5637,8039,2402,0
122,Wooden Sculpture,Jewelry,Leather,9,Sabaragamuwa,Low,4.5,3697,7886,4189,0
123,Woven Basket,Fashion,Cotton Rope,13,Sabaragamuwa,High,3.9,17643,17805,162,0
124,Handmade Necklace,Home Decor,Wool,1,NorthEast,Medium,4.3,7610,4530,3080,0
125,Hand-Painted Vase,Crafts,Paper,11,North,High,3.9,7667,11249,3582,0
126,Knitted Scarf,Crafts,Paper,14,Uwa,Low,3.4,16282,16101,181,0
127,Handmade Necklace,Kitchenware,Paper,15,NorthEast,Medium,4.7,10527,2980,7547,0
128,Leather Wallet,Fashion,Straw,19,Uwa,High,3.7,9593,2413,7180,0
129,Embroidered Cushion,Kitchenware,Wood,13,Sabaragamuwa,High,4.3,7496,6508,988,0
130,Leather Wallet,Accessories,Cotton Rope,6,NorthEast,High,3.4,7663,16132,8469,0
131,Leather Wallet,Kitchenware,Wool,16,NorthEast,Low,3.4,4897,18028,13131,0
132,Leather Wallet,Crafts,Straw,1,NorthEast,High,3.6,2304,1957,347,0
133,Macrame Wall Hanging,Fashion,Cotton Rope,8,Sabaragamuwa,Medium,4.3,14361,7789,6572,0
134,Embroidered Cushion,Accessories,Paper,6,North,Medium,4.9,6313,4477,1836,0
135,Wooden Sculpture,Fashion,Paper,6,NorthEast,Medium,4.1,17813,6107,11706,0
136,Macrame Wall Hanging,Crafts,Ceramic,19,NorthEast,High,4.0,4049,15397,11348,0
137,Painted Ceramic Mug,Crafts,Wool,7,Uwa,Medium,3.3,13933,14089,156,0
138,Embroidered Cushion,Kitchenware,Wool,2,Uwa,High,4.4,11119,1007,10112,0
139,Handmade Necklace,Jewelry,Paper,2,Sabaragamuwa,Low,4.7,5741,16101,10360,0
140,Handmade Necklace,Home Decor,Cotton Rope,13,North,Low,3.2,15617,2209,13408,0
141,Painted Ceramic Mug,Crafts,Wool,4,North,Low,4.0,19901,2606,17295,0
142,Leather Wallet,Fashion,Beads,16,NorthEast,Medium,4.3,12991,14572,1581,0
143,Handmade Necklace,Accessories,Paper,20,Sabaragamuwa,High,3.2,4670,13763,9093,0
144,Painted Ceramic Mug,Fashion,Wood,15,Sabaragamuwa,Low,3.5,12310,10259,2051,0
145,Painted Ceramic Mug,Fashion,Leather,6,Sabaragamuwa,Medium,4.5,9792,3114,6678,0
146,Painted Ceramic Mug,Kitchenware,Ceramic,6,Uwa,Medium,3.6,13686,11547,2139,0
147,Leather Wallet,Home Decor,Fabric,19,Sabaragamuwa,High,3.2,12595,18030,5435,0
148,Macrame Wall Hanging,Jewelry,Beads,19,Uwa,Low,3.9,14695,2928,11767,0
149,Painted Ceramic Mug,Fashion,Paper,16,NorthEast,Low,3.8,4577,9728,5151,0
150,Hand-Painted Vase,Jewelry,Fabric,6,NorthEast,High,3.4,8295,10726,2431,0
151,Hand-Painted Vase,Fashion,Wool,12,North,High,3.7,7769,6111,1658,0
152,Painted Ceramic Mug,Home Decor,Fabric,9,Uwa,Low,3.4,17585,18842,1257,0
153,Embroidered Cushion,Fashion,Leather,10,Sabaragamuwa,Low,4.9,11244,13520,2276,0
154,Leather Wallet,Home Decor,Straw,4,NorthEast,Medium,4.8,18105,5877,12228,0
155,Hand-Painted Vase,Accessories,Wood,15,Sabaragamuwa,Medium,4.0,17026,4107,12919,0
156,Handmade Necklace,Fashion,Ceramic,14,NorthEast,Medium,3.6,14822,8198,6624,0
157,Knitted Scarf,Home Decor,Wool,8,NorthEast,High,4.1,4941,5193,252,0
158,Paper Flower Bouquet,Home Decor,Leather,5,NorthEast,Medium,3.2,12218,10131,2087,0
159,Paper Flower Bouquet,Kitchenware,Straw,10,NorthEast,High,4.0,6199,1794,4405,0
160,Painted Ceramic Mug,Fashion,Cotton Rope,1,North,Medium,3.3,19295,2726,16569,0
161,Wooden Sculpture,Crafts,Leather,2,Sabaragamuwa,Medium,3.6,13812,15704,1892,0
162,Knitted Scarf,Kitchenware,Leather,6,Uwa,High,4.1,18589,16729,1860,0
163,Hand-Painted Vase,Accessories,Cotton Rope,20,Uwa,Medium,3.3,8732,2655,6077,0
164,Hand-Painted Vase,Home Decor,Cotton Rope,5,NorthEast,Medium,4.0,8061,11612,3551,0
165,Macrame Wall Hanging,Accessories,Ceramic,3,North,Medium,4.5,17178,6619,10559,0
166,Paper Flower Bouquet,Home Decor,Wood,6,Uwa,Low,4.5,16391,2981,13410,0
167,Wooden Sculpture,Accessories,Paper,4,Uwa,High,4.4,7162,10960,3798,0
168,Macrame Wall Hanging,Home Decor,Beads,12,NorthEast,Medium,3.0,18345,3280,15065,0
169,Wooden Sculpture,Crafts,Wood,20,NorthEast,High,3.8,3288,12604,9316,0
170,Hand-Painted Vase,Accessories,Cotton Rope,11,Uwa,Low,3.9,4340,8929,4589,0
171,Leather Wallet,Kitchenware,Leather,7,Uwa,High,4.7,9529,15807,6278,0
172,Woven Basket,Kitchenware,Paper,6,Sabaragamuwa,High,3.8,10769,10698,71,0
173,Hand-Painted Vase,Kitchenware,Wool,2,Sabaragamuwa,High,4.3,10205,14556,4351,0
174,Embroidered Cushion,Fashion,Ceramic,13,NorthEast,Low,3.9,17277,15055,2222,0
175,Woven Basket,Home Decor,Ceramic,12,Sabaragamuwa,High,4.8,17132,4366,12766,0
176,Wooden Sculpture,Fashion,Leather,3,North,Medium,4.1,6673,5510,1163,0
177,Knitted Scarf,Home Decor,Wool,20,Sabaragamuwa,High,3.7,3641,10086,6445,0
178,Leather Wallet,Accessories,Fabric,6,NorthEast,Medium,3.3,10580,16585,6005,0
179,Painted Ceramic Mug,Home Decor,Wood,7,Sabaragamuwa,Low,4.5,3317,13730,10413,0
180,Handmade Necklace,Jewelry,Wool,8,Sabaragamuwa,Medium,3.0,1961,8223,6262,0
181,Embroidered Cushion,Jewelry,Beads,13,Sabaragamuwa,High,3.5,12478,10198,2280,0
182,Wooden Sculpture,Fashion,Straw,20,Uwa,High,4.1,19679,4151,15528,0
183,Leather Wallet,Kitchenware,Ceramic,12,NorthEast,Medium,4.1,17970,18485,515,0
184,Paper Flower Bouquet,Accessories,Beads,11,Sabaragamuwa,Medium,3.1,13180,18797,5617,0
185,Painted Ceramic Mug,Kitchenware,Paper,4,North,Low,4.8,16091,8926,7165,0
186,Painted Ceramic Mug,Fashion,Ceramic,8,NorthEast,High,3.2,9914,8753,1161,0
187,Macrame Wall Hanging,Home Decor,Leather,15,North,Medium,4.8,5349,19252,13903,0
188,Knitted Scarf,Crafts,Straw,18,Uwa,Medium,4.0,11712,5632,6080,0
189,Paper Flower Bouquet,Crafts,Cotton Rope,9,Sabaragamuwa,High,3.4,11843,7164,4679,0
190,Woven Basket,Jewelry,Beads,9,North,Medium,4.0,11865,4974,6891,0
191,Knitted Scarf,Fashion,Leather,12,Uwa,Low,4.8,14361,3805,10556,0
192,Woven Basket,Accessories,Wool,9,Uwa,Medium,4.7,15858,9138,6720,0
193,Paper Flower Bouquet,Kitchenware,Paper,14,Sabaragamuwa,Low,4.5,14099,12163,1936,0
194,Macrame Wall Hanging,Crafts,Beads,4,Sabaragamuwa,High,3.5,1666,16043,14377,0
195,Handmade Necklace,Kitchenware,Wool,6,Uwa,High,3.2,11633,15592,3959,0
196,Wooden Sculpture,Crafts,Fabric,19,Sabaragamuwa,Low,3.1,6143,9067,2924,0
197,Wooden Sculpture,Home Decor,Cotton Rope,13,Sabaragamuwa,Low,4.7,4438,3026,1412,0
198,Painted Ceramic Mug,Jewelry,Wood,19,North,Medium,4.2,16234,10658,5576,0
199,Embroidered Cushion,Accessories,Fabric,5,Uwa,Medium,4.6,1777,13852,12075,0
200,Woven Basket,Kitchenware,Paper,6,North,Medium,4.7,13245,14659,1414,0
201,Hand-Painted Vase,Crafts,Straw,19,North,High,3.4,2606,15729,13123,0
202,Macrame Wall Hanging,Jewelry,Paper,10,Sabaragamuwa,Medium,3.9,2828,2114,714,0
203,Painted Ceramic Mug,Kitchenware,Wool,7,NorthEast,Medium,3.4,3146,6086,2940,0
204,Leather Wallet,Accessories,Cotton Rope,2,North,Medium,5.0,11960,18748,6788,0
205,Knitted Scarf,Fashion,Straw,5,NorthEast,Low,3.9,3388,3610,222,0
206,Painted Ceramic Mug,Jewelry,Fabric,2,Uwa,Low,3.6,9443,9263,180,0
207,Leather Wallet,Kitchenware,Wool,6,North,Low,4.1,3145,1053,2092,0
208,Painted Ceramic Mug,Crafts,Straw,11,NorthEast,Medium,4.2,16181,11427,4754,0
209,Embroidered Cushion,Crafts,Fabric,6,Sabaragamuwa,High,4.1,19236,9379,9857,0
210,Wooden Sculpture,Home Decor,Straw,4,North,Low,3.1,11129,13148,2019,0
211,Woven Basket,Kitchenware,Leather,4,Uwa,High,4.8,2608,9582,6974,0
212,Painted Ceramic Mug,Fashion,Wool,4,North,Medium,4.0,17753,15228,2525,0
213,Knitted Scarf,Accessories,Straw,13,NorthEast,Low,3.6,16388,1852,14536,0
214,Painted Ceramic Mug,Accessories,Ceramic,1,Sabaragamuwa,High,4.9,17502,12795,4707,0
215,Handmade Necklace,Kitchenware,Ceramic,9,Sabaragamuwa,Low,3.7,18920,4141,14779,0
216,Knitted Scarf,Home Decor,Straw,17,NorthEast,Medium,4.2,14156,8578,5578,0
217,Embroidered Cushion,Kitchenware,Straw,8,NorthEast,Low,3.7,4982,5369,387,0
218,Woven Basket,Home Decor,Leather,9,NorthEast,Low,5.0,17212,8532,8680,0
219,Leather Wallet,Kitchenware,Beads,10,NorthEast,Low,3.9,7800,7892,92,0
220,Macrame Wall Hanging,Crafts,Wool,5,Uwa,High,3.6,5370,14309,8939,0
221,Knitted Scarf,Accessories,Ceramic,18,Uwa,Medium,4.3,2898,10615,7717,0
222,Handmade Necklace,Accessories,Fabric,17,NorthEast,Medium,4.9,18065,15792,2273,0
223,Leather Wallet,Kitchenware,Ceramic,16,Sabaragamuwa,Low,4.4,10929,6114,4815,0
224,Macrame Wall Hanging,Jewelry,Ceramic,3,North,Medium,3.6,10095,16055,5960,0
225,Macrame Wall Hanging,Home Decor,Leather,1,NorthEast,Low,3.8,14774,6476,8298,0
226,Embroidered Cushion,Crafts,Straw,13,NorthEast,High,3.7,7780,15679,7899,0
227,Painted Ceramic Mug,Jewelry,Ceramic,17,NorthEast,Low,4.9,13889,13821,68,0
228,Leather Wallet,Jewelry,Cotton Rope,6,North,High,4.4,16107,14285,1822,0
229,Handmade Necklace,Jewelry,Beads,15,North,Medium,3.2,18405,4922,13483,0
230,Leather Wallet,Accessories,Straw,10,NorthEast,Low,3.3,16393,19668,3275,0
231,Woven Basket,Jewelry,Leather,9,Sabaragamuwa,Low,4.2,17021,16912,109,0
232,Woven Basket,Fashion,Fabric,7,NorthEast,Medium,3.1,13036,17938,4902,0
233,Painted Ceramic Mug,Fashion,Paper,4,North,High,4.0,3502,19287,15785,0
234,Handmade Necklace,Jewelry,Wool,9,Uwa,Medium,3.7,11551,1630,9921,0
235,Knitted Scarf,Jewelry,Cotton Rope,11,Sabaragamuwa,Medium,3.5,18662,8383,10279,0
236,Woven Basket,Fashion,Beads,11,NorthEast,High,4.2,3867,3873,6,1
237,Hand-Painted Vase,Home Decor,Paper,2,North,Low,4.3,19357,19331,26,1
238,Woven Basket,Kitchenware,Wood,20,NorthEast,Medium,3.9,3465,7654,4189,0
239,Macrame Wall Hanging,Jewelry,Wool,2,NorthEast,High,3.6,13883,12467,1416,0
240,Hand-Painted Vase,Fashion,Leather,5,Uwa,Medium,4.2,13085,10672,2413,0
241,Hand-Painted Vase,Kitchenware,Wood,10,Uwa,Low,3.3,4605,9453,4848,0
242,Paper Flower Bouquet,Crafts,Leather,11,Sabaragamuwa,Medium,4.3,6410,16980,10570,0
243,Macrame Wall Hanging,Jewelry,Leather,20,NorthEast,High,4.3,15813,3836,11977,0
244,Paper Flower Bouquet,Home Decor,Beads,20,North,High,4.4,14353,14950,597,0
245,Embroidered Cushion,Home Decor,Paper,18,NorthEast,Low,3.1,3805,19649,15844,0
246,Hand-Painted Vase,Jewelry,Cotton Rope,1,Uwa,Low,4.4,18745,14519,4226,0
247,Macrame Wall Hanging,Kitchenware,Paper,15,Sabaragamuwa,Medium,4.5,16036,11025,5011,0
248,Paper Flower Bouquet,Home Decor,Wool,13,North,Low,4.5,16613,6252,10361,0
249,Embroidered Cushion,Home Decor,Paper,11,North,High,4.7,13653,8829,4824,0
250,Leather Wallet,Jewelry,Wood,20,Sabaragamuwa,Medium,3.1,13579,15878,2299,0
251,Woven Basket,Accessories,Cotton Rope,2,NorthEast,Medium,4.6,18189,18588,399,0
252,Leather Wallet,Crafts,Cotton Rope,18,North,Low,3.2,10383,15857,5474,0
253,Knitted Scarf,Fashion,Cotton Rope,3,NorthEast,Medium,3.6,7140,15344,8204,0
254,Paper Flower Bouquet,Crafts,Ceramic,19,NorthEast,Low,4.7,7497,14295,6798,0
255,Hand-Painted Vase,Accessories,Beads,7,North,High,4.7,4079,7935,3856,0
256,Embroidered Cushion,Jewelry,Wool,20,Sabaragamuwa,High,3.6,15517,1416,14101,0
257,Woven Basket,Jewelry,Cotton Rope,16,Sabaragamuwa,Medium,4.6,10014,3031,6983,0
258,Leather Wallet,Accessories,Wool,15,Sabaragamuwa,Medium,4.3,1436,15386,13950,0
259,Paper Flower Bouquet,Fashion,Paper,5,Uwa,High,4.3,2296,5632,3336,0
260,Macrame Wall Hanging,Home Decor,Ceramic,1,Sabaragamuwa,High,3.6,3173,7687,4514,0
261,Knitted Scarf,Fashion,Wool,17,Sabaragamuwa,Medium,3.4,16304,2771,13533,0
262,Wooden Sculpture,Crafts,Wood,13,NorthEast,Low,3.9,14145,17790,3645,0
263,Macrame Wall Hanging,Jewelry,Paper,8,North,Medium,4.2,9676,10587,911,0
264,Painted Ceramic Mug,Crafts,Ceramic,12,Sabaragamuwa,High,4.9,19512,15082,4430,0
265,Woven Basket,Kitchenware,Straw,2,Uwa,High,3.5,9235,10501,1266,0
266,Woven Basket,Fashion,Wool,14,Uwa,Medium,3.2,13549,3117,10432,0
267,Embroidered Cushion,Fashion,Wood,7,Sabaragamuwa,Low,3.3,10117,9960,157,0
268,Handmade Necklace,Accessories,Straw,15,North,Medium,5.0,11932,2090,9842,0
269,Embroidered Cushion,Accessories,Wool,10,Uwa,High,4.7,16275,15249,1026,0
270,Knitted Scarf,Crafts,Paper,19,Sabaragamuwa,High,4.1,5777,16974,11197,0
271,Knitted Scarf,Kitchenware,Beads,10,North,Low,3.9,3552,14916,11364,0
272,Embroidered Cushion,Accessories,Paper,2,NorthEast,High,3.6,8135,2567,5568,0
273,Handmade Necklace,Crafts,Paper,20,Uwa,Medium,3.5,15956,18870,2914,0
274,Hand-Painted Vase,Home Decor,Cotton Rope,1,North,Low,4.8,6053,15556,9503,0
275,Embroidered Cushion,Crafts,Paper,9,Sabaragamuwa,Medium,4.3,7620,13072,5452,0
276,Leather Wallet,Jewelry,Wool,5,Sabaragamuwa,High,3.1,6398,16864,10466,0
277,Painted Ceramic Mug,Crafts,Leather,8,NorthEast,Medium,3.2,19106,11000,8106,0
278,Painted Ceramic Mug,Kitchenware,Straw,8,North,High,4.4,10700,7552,3148,0
279,Embroidered Cushion,Home Decor,Wood,7,Sabaragamuwa,Medium,4.4,19423,4028,15395,0
280,Hand-Painted Vase,Kitchenware,Wood,20,Sabaragamuwa,High,4.2,11090,8608,2482,0
281,Painted Ceramic Mug,Jewelry,Paper,16,Sabaragamuwa,Low,3.9,12904,16453,3549,0
282,Knitted Scarf,Crafts,Beads,3,Sabaragamuwa,Medium,4.6,15067,4230,10837,0
283,Hand-Painted Vase,Home Decor,Beads,19,NorthEast,High,4.4,13544,8431,5113,0
284,Wooden Sculpture,Fashion,Ceramic,12,Uwa,High,4.5,14814,8877,5937,0
285,Paper Flower Bouquet,Accessories,Cotton Rope,16,Sabaragamuwa,Medium,4.2,13337,2040,11297,0
286,Wooden Sculpture,Fashion,Ceramic,11,Uwa,Medium,4.8,10372,3232,7140,0
